playId,playEvent.playEventId,playEvent.name,playEvent.playDetail.playDetailId,playEvent.playDetail.name,playText
1007,3,Field Goal Made,45,Jump Shot,Khadeen Carrington makes a jump shot from 17 feet out.
1008,4,Field Goal Missed,40,Layup Shot,Haanif Cheatham misses a layup.
1009,5,Offensive Rebound,,,Luke Fischer with an offensive rebound.
1011,3,Field Goal Made,53,Tip Shot,Luke Fischer makes a tip shot from 1 foot out.
1015,8,Foul,2,Shooting,Shooting foul committed by Wally Ellenson.
1016,1,Free Throw Made,11,Free Throw 1 of 2,Khadeen Carrington makes free throw 1 of 2.
1017,1,Free Throw Made,12,Free Throw 2 of 2,Khadeen Carrington makes free throw 2 of 2.
1019,4,Field Goal Missed,45,Jump Shot,Haanif Cheatham misses a 3-point jump shot from 25 feet out.
1020,6,Defensive Rebound,,,Veer Singh with a defensive rebound.
1028,15,End Period,,,End of the 2nd Half
1029,19,Game Over,,,End of the Game
